player_id,player_name,player_position,player_age,player_avg_yellow_cards,player_avg_red_cards,player_avg_fouls
457,"Michael Keane",Defender,29,2.75,0.25,18.25
458,"Naby Keïta",Midfielder,27,1.5,0,23
459,"Caoimhín Kelleher",Goalkeeper,23,0,0,0
460,"Martin Kelly",Defender,32,0.666667,0,4.66667
461,Kenedy,Forward,26,0.5,0,9.5
463,"Jonjoe Kenny",Defender,25,0.666667,0.333333,6.33333
464,"Reda Khadra",Midfielder,21,0,0,0
465,"Kiko Casilla",Goalkeeper,36,0,0,0
466,"Maximilian Kilman",Defender,25,1.5,0,8.5
467,"Joshua King",Forward,30,1,0,31.3333
470,"Kristoffer Klaesson",Goalkeeper,21,0,0,0
471,"Mateusz Klich",Midfielder,32,5.5,0,43
472,"Timm Klose",Defender,34,0,0,8
474,"Robin Koch",Defender,26,2,0,19.5
475,"Sead Kolasinac",Defender,29,2,0,8
476,"Ibrahima Konaté",Defender,23,2,0,10
477,"Ezri Konsa",Defender,24,3.33333,0.666667,18
479,"Cheikhou Kouyaté",Midfielder,32,3.5,0,33
480,"Mateo Kovacic",Midfielder,28,4.75,0,19.75
483,"Emil Krafth",Defender,28,2,0,8
485,"Juraj Kucka",Midfielder,35,3,1,46
486,"Dejan Kulusevski",Midfielder,22,3,0,20
487,"Alexandre Lacazette",Forward,31,3.25,0,41
489,"Adam Lallana",Midfielder,34,1.5,0,10
490,"Erik Lamela",Midfielder,30,3,0.333333,25.6667
491,"Tariq Lamptey",Defender,22,2.66667,0.333333,20.3333
493,"Henri Lansbury",Midfielder,31,0,0,4
494,"Manuel Lanzini",Midfielder,29,1.5,0,7.25
495,"Aymeric Laporte",Defender,28,2.5,0.25,13.25
496,"Jamaal Lascelles",Defender,28,4.5,0,18
501,"Pierre Lees-Melou",Midfielder,29,5,0,35
502,"Florian Lejeune",Defender,31,0,0,8.5
504,"Mario Lemina",Midfielder,29,5,0,31.5
505,"Aaron Lennon",Midfielder,35,2.33333,0,13.6667
506,"Bernd Leno",Goalkeeper,30,0.5,0.25,0.5
508,"Thakgalo Leshabela",Midfielder,23,0,0,0
510,"Jamal Lewis",Defender,24,3,0,11.6667
512,"Victor Lindelöf",Defender,28,2.75,0,21
514,"Jesse Lingard",Midfielder,29,2.33333,0,18
515,"Tino Livramento",Defender,19,2,0,12
516,"Diego Llorente",Defender,29,4,0,19
517,"Hugo Lloris",Goalkeeper,35,0.5,0,0
518,"Giovani Lo Celso",Midfielder,26,3.66667,0,16.3333
519,"Jürgen Locadia",Forward,28,0.333333,0,7.66667
520,"Ruben Loftus-Cheek",Midfielder,26,1,0,14.75
522,"Kevin Long",Defender,32,0.75,0,5.75
525,"Ademola Lookman",Forward,24,2.33333,0,27
527,"Jonas Lössl",Goalkeeper,33,0.5,0,0
528,"Imrân Louza",Midfielder,23,6,0,24
529,"Matthew Lowton",Defender,33,4.25,0.25,17
530,"Lucas Moura",Forward,30,2.75,0,24.5
531,"Romelu Lukaku",Forward,29,2.5,0,13
532,Lyanco,Defender,25,2,0,13
535,"Alexis Mac Allister",Midfielder,23,1.66667,0,17.6667
536,"James Maddison",Midfielder,25,3.5,0.25,25.5
538,"Harry Maguire",Defender,29,7.5,0.5,28.5
539,"Riyad Mahrez",Forward,31,0,0,11.5
540,"Ainsley Maitland-Niles",Midfielder,25,1.75,0.5,10.75
543,"Sadio Mané",Forward,30,3.25,0,45.75
544,"Javier Manquillo",Defender,28,3.25,0,11.75
545,Marçal,Defender,33,2.5,0,20.5
547,"Solly March",Midfielder,28,1,0,24
549,"Pablo Marí",Defender,29,1,0,3.66667
552,"Anthony Martial",Forward,26,0.75,0.25,14.25
553,"Josh Martin",Forward,21,0,0,1
554,"Emiliano Martínez",Goalkeeper,30,2.33333,0,0.333333
555,"Adam Masina",Defender,28,2.66667,0,19
556,"Arthur Masuaku",Defender,28,2.25,0.25,11
558,"Juan Mata",Midfielder,34,1,0,5
559,"Jean-Philippe Mateta",Forward,25,1,0,9.5
560,"Nemanja Matic",Midfielder,34,3.5,0.25,23.5
561,"Joël Matip",Defender,31,1.75,0,10.5
564,"Matty Longstaff",Midfielder,22,0.5,0,4.5
565,"Neal Maupay",Forward,26,3.66667,0.333333,32.6667
566,"Konstantinos Mavropanos",Defender,24,1,0,2
568,"Bryan Mbeumo",Midfielder,23,4,0,20
571,"James McArthur",Midfielder,35,5,0,43.5
572,"James McAtee",Midfielder,19,0,0,1
573,"Kasey McAteer",Midfielder,20,0,0,0
576,"Liam McCarron",Midfielder,21,0,0,0
577,"James McCarthy",Midfielder,31,3.33333,0,12.3333
580,"John McGinn",Midfielder,27,7.66667,0,45.6667
582,"Michael McGovern",Goalkeeper,38,0,0,0
583,"Stuart McKinstry",Midfielder,20,0,0,0
584,"Kenny McLean",Midfielder,30,4,0,20
585,"Dwight McNeil",Midfielder,22,2.25,0,17.75
586,"Scott McTominay",Midfielder,25,3.75,0,37.25
587,"Ben Mee",Defender,33,5.5,0,19
588,"Hannibal Mejbri",Midfielder,19,1,0,1.5
589,"Édouard Mendy",Goalkeeper,30,2.5,0,1
591,"Illan Meslier",Goalkeeper,22,1,0,0.5
593,"Luka Milivojevic",Midfielder,31,7.75,0.25,40.75
594,"James Milner",Midfielder,36,3.5,0.25,18.75
595,"Yerry Mina",Defender,28,2.75,0,15
596,"Takumi Minamino",Midfielder,27,0.666667,0,7.33333
597,"Tyrone Mings",Defender,29,5.5,0.25,17
598,"Tyrick Mitchell",Defender,23,1,0,8.33333
601,"Jakub Moder",Midfielder,23,1,0,15.5
602,"Mohamed Elneny",Midfielder,30,1.33333,0,5.33333
603,"Mohamed Salah",Forward,30,0.75,0,19
604,"Jayson Molumby",Midfielder,23,0,0,0
609,"Wes Morgan",Defender,38,0.333333,0.666667,7.33333
611,"Tyler Morton",Midfielder,19,1,0,1
612,"Victor Moses",Midfielder,31,0,0,1
615,"Mason Mount",Midfielder,23,3,0,39
616,"Bali Mumba",Defender,21,0,0,0
617,"Joel Mumbongo",Forward,23,1,0,1
