player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
1024,"Leon Clarke",Forward,0,0,0,1
1028,"Kevin Danso",Defender,0,1,4,1
1029,"Bobby De Cordova-Reid",Forward,7,0,43,2
1031,"Fousseni Diabaté",Midfielder,0,0,0,1
1033,"Mbaye Diagne",Forward,2,0,17,1
1035,"Grady Diangana",Midfielder,0,0,15,2
1041,"Kyle Edwards",Midfielder,0,0,1,1
1042,"John Egan",Defender,10,2,63,2
1045,"Fábio Carvalho",Midfielder,0,0,4,1
1046,Fabri,Goalkeeper,0,0,0,1
1048,"Nathan Ferguson",Defender,0,0,0,1
1049,"Federico Fernández",Defender,14,0,45,4
1050,"Sam Field",Midfielder,0,0,2,1
1051,"John Fleck",Midfielder,12,0,58,2
1053,"Timothy Fosu-Mensah",Defender,5,0,13,3
1054,"Juan Foyth",Defender,4,1,18,2
1055,"Tyrese Francois",Midfielder,0,0,0,1
1056,"Luke Freeman",Midfielder,2,0,6,1
1057,"Darnell Furlong",Defender,5,0,34,1
1060,"Paulo Gazzaniga",Goalkeeper,1,0,1,2
1061,"Gedson Fernandes",Midfielder,0,0,0,1
1062,"Kieran Gibbs",Defender,1,1,6,1
1068,"Kamil Grosicki",Midfielder,0,0,1,1
1070,"Antwoine Hackford",Forward,0,0,0,1
1071,"Sébastien Haller",Forward,1,0,70,2
1074,"Rekeem Harper",Midfielder,0,0,1,1
1077,"Michael Hector",Defender,2,0,5,1
1078,"George Hirst",Forward,0,0,0,1
1081,"Odion Ighalo",Forward,0,0,1,2
1083,"Ivan Cavaleiro",Forward,3,0,43,2
1084,"Branislav Ivanovic",Defender,2,0,11,1
1085,"Phil Jagielka",Defender,1,2,11,3
1087,"Daniel Jebbison",Forward,0,0,6,1
1089,"Roberto Jiménez",Goalkeeper,0,0,0,1
1090,"Stefan Johansen",Midfielder,4,0,6,1
1092,"Sam Johnstone",Goalkeeper,1,0,1,1
1093,Jota,Midfielder,0,0,6,1
1094,"Aboubakar Kamara",Forward,3,1,33,2
1095,"Beram Kayal",Midfielder,4,0,18,1
1096,"Neeskens Kebano",Midfielder,0,0,3,2
1098,"Anthony Knockaert",Midfielder,4,1,22,1
1099,"Terence Kongolo",Defender,4,0,21,2
1100,"Filip Krovinovic",Midfielder,0,0,5,1
1103,"Valentino Lazaro",Defender,0,1,3,1
1104,"Maxime Le Marchand",Defender,7,0,31,2
1107,"Jake Livermore",Midfielder,2,1,30,1
1110,"Dejan Lovren",Defender,2,0,7,2
1111,"Max Lowe",Defender,1,0,10,1
1113,"John Lundstram",Midfielder,13,1,51,2
1118,"Josh Maja",Forward,0,0,8,1
1120,"David Martin",Goalkeeper,1,0,0,1
1121,"Matheus Pereira",Midfielder,2,1,34,1
1122,"Alfie Mawson",Defender,2,0,6,1
1123,"Oliver McBurnie",Forward,6,0,52,2
1125,"Kevin McDonald",Midfielder,4,1,12,1
1127,"David McGoldrick",Forward,9,0,75,2
1131,"Max Meyer",Midfielder,4,0,16,2
1134,"Aleksandar Mitrovic",Forward,10,0,83,2
1135,"Henrikh Mkhitaryan",Midfielder,2,0,29,2
1136,"Martín Montoya",Defender,9,0,56,2
1137,"Simon Moore",Goalkeeper,0,0,0,1
1138,"Aaron Mooy",Midfielder,5,1,39,2
1139,"Lys Mousset",Forward,2,0,38,3
1141,"Shkodran Mustafi",Defender,11,0,57,3
1142,"Iliman Ndiaye",Midfielder,0,0,0,1
1145,"Oliver Norwood",Midfielder,14,0,58,2
1146,"Jack O'Connell",Defender,4,0,22,2
1149,"Dara O'Shea",Defender,3,0,13,1
1150,"Denis Odoi",Defender,5,0,44,2
1152,"Ola Aina",Defender,3,0,32,1
1154,"Josh Onomah",Midfielder,1,0,12,1
1156,"Ben Osborn",Midfielder,1,0,19,2
1158,"Nicolás Otamendi",Defender,4,0,29,2
1159,"Mesut Özil",Midfielder,3,0,24,2
1160,"Sokratis Papastathopoulos",Defender,18,0,56,2
1162,Pedro,Forward,3,0,25,2
1163,"Lee Peltier",Defender,5,0,19,2
1164,"Pepe Reina",Goalkeeper,1,0,1,1
1165,"Brandon Pierrick",Forward,0,0,0,1
1168,"Tim Ream",Defender,1,0,15,2
1169,"Harrison Reed",Midfielder,5,0,40,1
1171,"Antonee Robinson",Defender,4,1,20,1
1172,"Hal Robson-Kanu",Forward,2,0,15,1
1173,"Marek Rodák",Goalkeeper,0,0,0,1
1174,"Jack Rodwell",Midfielder,0,0,0,1
1175,"Marcos Rojo",Defender,3,0,5,2
1178,"Leroy Sané",Forward,1,0,9,2
1179,"Romaine Sawyers",Midfielder,2,0,18,1
1180,"Ezequiel Schelotto",Defender,2,0,7,1
1181,"Jean Michaël Seri",Midfielder,6,0,32,1
1182,"Femi Seriki",Defender,0,0,0,1
1184,"Billy Sharp",Forward,2,1,34,2
1187,"Djibril Sidibé",Defender,3,0,24,1
1188,"David Silva",Midfielder,3,0,46,2
1190,"Islam Slimani",Forward,0,0,0,1
1191,"Chris Smalling",Defender,1,0,22,1
1193,"Robert Snodgrass",Midfielder,16,0,64,3
1198,"Raheem Sterling",Forward,13,0,125,4
1203,"Kenny Tete",Defender,3,0,28,1
1204,"Max Thompson",Forward,0,0,0,1
1208,"Jan Vertonghen",Defender,5,1,17,2
1209,"Michel Vorm",Goalkeeper,0,0,0,1
1210,"Neco Williams",Defender,2,0,8,3
1211,"Jack Wilshere",Midfielder,2,0,8,2
1213,"DeAndre Yedlin",Defender,9,1,53,3
